127.0.0.1 - - [15/Sep/2023:23:08:54 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:08:54 +0700] "GET /new-jdbc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:08:56 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:08:56 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:07 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 7636
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:07 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:07 +0700] "GET /new-jdbc/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:09 +0700] "GET /new-jdbc/admin-new-list HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:09 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:27 +0700] "GET /new-jdbc/admin-new-list HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:27 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:28 +0700] "GET /new-jdbc/admin-new-list HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:28 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:28 +0700] "GET /new-jdbc/admin-new-list HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:28 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:34 +0700] "GET /new-jdbc/admin-new-list HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:09:34 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:18:28 +0700] "GET /new-jdbc/admin-new-list HTTP/1.1" 200 9247
0:0:0:0:0:0:0:1 - - [15/Sep/2023:23:18:28 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1111
